Party;Base year;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;Last Inventory Year (2019);Change from base year to latest reported year
European Union (Convention);5.657.987,35;5.657.987,35;5.554.573,05;5.385.811,99;5.285.472,73;5.249.835,76;5.294.873,94;5.408.864,70;5.312.368,26;5.271.946,12;5.166.089,87;5.155.594,61;5.206.084,13;5.172.149,06;5.260.743,78;5.262.043,65;5.226.495,34;5.215.586,09;5.164.853,02;5.046.971,79;4.675.074,81;4.779.612,47;4.626.768,71;4.568.546,27;4.471.235,92;4.293.697,12;4.325.015,41;4.302.752,66;4.317.624,81;4.223.100,18;4.057.594,57;-28,29%
European Union (KP);5.664.390,32;5.664.390,32;5.560.778,60;5.391.998,06;5.291.737,36;5.256.062,78;5.301.282,55;5.415.443,15;5.319.257,99;5.279.187,49;5.173.405,30;5.162.839,63;5.212.998,29;5.179.208,48;5.267.640,04;5.269.082,57;5.233.549,72;5.223.325,63;5.173.074,86;5.055.423,90;4.683.050,76;4.787.444,19;4.634.404,95;4.576.233,88;4.478.971,84;4.301.486,13;4.332.801,85;4.310.374,24;4.325.422,92;4.230.955,88;4.065.462,10;-28,23%
Finland;71.075,01;71.075,01;68.976,83;67.537,17;69.802,06;75.330,90;71.663,00;77.655,59;76.353,40;72.656,18;72.039,28;70.162,59;75.489,95;77.917,81;85.538,07;81.850,13;69.851,38;81.228,18;79.574,36;71.465,37;67.828,41;75.621,63;67.876,63;62.402,31;62.797,27;58.659,76;55.087,28;58.007,00;55.230,18;56.281,82;53.021,25;-25,40%
France;547.127,83;547.127,83;573.267,01;562.724,82;541.994,08;534.183,17;540.263,49;558.535,53;551.315,86;564.794,56;558.542,13;552.419,16;557.716,37;551.773,93;556.025,60;554.919,88;555.961,77;545.436,42;535.685,05;528.370,73;506.423,66;513.461,78;488.902,16;490.286,17;491.502,99;461.188,53;464.205,67;467.060,00;470.564,32;452.034,46;442.984,67;-19,03%
Germany;1.248.576,92;1.248.576,92;1.202.060,55;1.152.179,82;1.142.845,27;1.124.864,86;1.120.555,25;1.138.786,14;1.103.880,94;1.078.775,63;1.044.927,44;1.042.612,09;1.058.745,06;1.037.234,57;1.034.137,58;1.017.525,75;992.529,51;999.354,67;973.768,63;974.780,35;908.688,45;941.805,34;917.273,60;923.342,03;940.419,54;901.255,14;904.261,81;907.967,91;892.075,67;855.890,41;809.798,54;-35,14%
Greece;103.289,46;103.289,46;103.344,25;104.588,35;104.188,43;106.975,03;109.310,88;112.456,89;117.357,20;122.954,80;123.112,81;126.470,88;127.524,66;127.540,10;131.279,63;131.960,69;136.423,69;132.517,99;135.149,01;131.825,16;124.619,09;118.500,04;115.571,73;112.305,52;102.684,38;99.257,81;95.463,98;91.821,84;95.600,99;92.308,35;85.630,94;-17,10%
Hungary;110.477,40;94.786,97;88.314,62;78.141,77;79.352,66;78.422,09;77.193,25;79.547,54;78.006,79;77.397,32;77.819,98;74.916,73;76.856,85;75.137,62;78.042,77;76.960,89;76.717,56;75.506,65;73.725,54;71.584,01;65.402,83;66.056,58;64.354,14;60.957,51;58.068,18;58.407,72;61.516,67;62.258,59;64.716,42;64.735,40;64.433,17;-41,68%
Iceland;3.682,90;3.682,90;3.466,17;3.380,97;3.466,10;3.398,24;3.513,11;3.571,74;3.739,40;3.883,44;4.105,31;4.126,80;4.018,74;4.113,32;4.073,43;4.174,60;4.022,91;4.606,48;4.901,10;5.299,94;4.966,28;4.866,27;4.647,06;4.657,36;4.654,39;4.685,66;4.763,99;4.716,62;4.795,42;4.822,19;4.722,35;28,22%
Ireland;54.400,32;54.400,32;55.210,27;55.196,53;55.739,95;57.215,06;58.740,88;60.904,77;62.361,15;64.942,47;66.202,87;68.458,71;70.487,20;68.623,05;69.032,77;68.384,55;70.264,34;69.620,58;68.591,57;68.131,46;62.356,37;61.949,41;57.793,58;58.785,14;58.570,58;58.062,57;60.431,95;62.475,14;62.114,86;62.526,01;59.777,64;9,88%
Italy;518.720,44;518.720,44;519.790,53;518.700,84;511.619,71;505.633,37;532.004,11;526.379,22;534.061,59;546.488,84;551.759,95;555.466,29;557.199,40;563.138,01;582.409,71;587.933,32;589.071,61;578.514,65;573.010,14;560.119,14;505.218,99;516.473,73;503.645,26;484.218,02;449.178,93;427.930,41;440.436,70;437.696,09;432.713,74;428.549,35;418.280,60;-19,36%
